운용사,유동성공급자(LP),종목명,기초지수명,순자산규모(억원),최초설정일,상장일
케이비자산운용,"NH투자증권, 미래에셋대우, 삼성증권",KBSTAR 미국S&P원유생산기업(합성 H),S&P Oil & Gas Exploration & Production Select Industry Index(PR),"70","2015/06/01","2015/06/02"
신한비엔피파리바자산,"미래에셋대우, 신한투자",SMART 중국본토 중소형 CSI500(합성 H),CSI 500 지수,"67","2015/06/05","2015/06/08"
미래에셋자산운용,"메리츠, 대신증권, 미래에셋대우, 키움증권, 한국증권",TIGER 차이나CSI300인버스(합성),CSI 300 Index,"427","2015/06/08","2015/06/10"
한화자산운용,"미래에셋대우, 한화투자, KB증권, 메리츠, NH투자증권",ARIRANG 스마트베타 Value,WISE 스마트베타 VALUE INDEX,"73","2015/06/26","2015/06/29"
한화자산운용,"미래에셋대우, 메리츠, NH투자증권",ARIRANG 스마트베타 Momentum,WISE 스마트베타 MOMENTUM INDEX,"41","2015/06/26","2015/06/29"
한화자산운용,"미래에셋대우, KB증권, 메리츠, NH투자증권",ARIRANG 스마트베타 Quality,WISE 스마트베타 QUALITY INDEX,"71","2015/06/26","2015/06/29"
삼성자산운용,"KB증권, 메리츠, 유진증권, 신한투자, 대신증권, 하이증권, 키움증권, NH투자증권",KODEX 200가치저변동,코스피 200 가치저변동성,"487","2015/06/25","2015/06/26"
한국투자신탁운용,"NH투자증권, KB증권, 대신증권",KINDEX 골드선물 레버리지(합성 H),S&P WCI Gold Excess Return Index,"285","2015/07/20","2015/07/28"
미래에셋자산운용,"메리츠, 키움증권, 한국증권, 대신증권, 미래에셋대우",TIGER 미국S&P500레버리지(합성 H),S&P 500,"197","2015/07/27","2015/07/29"
미래에셋자산운용,"미래에셋대우, 메리츠, 키움증권, 한국증권",TIGER 미국S&P500선물인버스(H),S&P 500 Futures Total Return Index,"215","2015/07/27","2015/07/29"
미래에셋자산운용,"메리츠, 한국증권, 대신증권, 미래에셋대우",TIGER 유로스탁스레버리지(합성 H),EURO STOXX 50 Index,"85","2015/07/27","2015/07/29"
미래에셋자산운용,"메리츠, 한국증권, 대신증권, 미래에셋대우",TIGER 이머징마켓MSCI레버리지(합성 H),MSCI EM Index,"78","2015/07/27","2015/07/29"
키움투자자산운용,"신한투자, 미래에셋대우, 메리츠, KB증권, 하이증권, 키움증권",KOSEF 미국달러선물 레버리지(합성),미국달러선물지수,"564","2015/08/05","2015/08/10"
한국투자신탁운용,"신한투자, 미래에셋대우",KINDEX 한류,FnGuide 한류스타 지수,"49","2015/08/11","2015/08/19"
삼성자산운용,"DB금투, NH투자증권, KB증권, 유안타증권, 키움증권, 신한투자, 유진증권, 메리츠, 하이증권, 하나금융투자",KODEX 코스피,코스피,"5,768","2015/08/21","2015/08/24"
삼성자산운용,"키움증권, 한화투자, DB금투, 메리츠, 한국증권, NH투자증권, KB증권",KODEX 200 중소형,코스피 200 중소형주지수,"526","2015/08/31","2015/09/01"
한화자산운용,"메리츠, NH투자증권, KB증권, 신한투자, SK증권",ARIRANG 코스피,코스피,"1,157","2015/09/22","2015/09/23"
미래에셋자산운용,"삼성증권, KB증권, 미래에셋대우, 메리츠, NH투자증권",TIGER 200 산업재,코스피 200 산업재,"48","2015/09/22","2015/09/23"
미래에셋자산운용,"삼성증권, KB증권, 미래에셋대우, 메리츠, NH투자증권",TIGER 200 생활소비재,코스피 200 생활소비재,"45","2015/09/22","2015/09/23"
미래에셋자산운용,"삼성증권, KB증권, 미래에셋대우, 메리츠, NH투자증권",TIGER 200 헬스케어,코스피 200 헬스케어,"91","2015/09/22","2015/09/23"
미래에셋자산운용,"메리츠, NH투자증권, 미래에셋대우, KB증권, 하나금융투자",TIGER 우량가치,FnGuide 퀄리티밸류 지수,"382","2015/09/22","2015/09/23"
미래에셋자산운용,"NH투자증권, 미래에셋대우, 하나금융투자, KB증권, 메리츠",TIGER 화장품,WISE 화장품 지수,"89","2015/10/06","2015/10/07"
미래에셋자산운용,"NH투자증권, 미래에셋대우, KB증권, 메리츠",TIGER 여행레저,WISE 여행레저 지수,"52","2015/10/06","2015/10/07"
미래에셋자산운용,"NH투자증권, 미래에셋대우, 유안타증권, KB증권, 메리츠",TIGER 미디어컨텐츠,WISE 미디어컨텐츠 지수,"50","2015/10/06","2015/10/07"
삼성자산운용,"신한투자, DB금투, 씨엘, 이베스트, 삼성증권, 유안타증권, 하나금융투자, 대신증권, 미래에셋대우, 유진증권, 메리츠, NH투자증권, KB증권, SK증권, 하이증권, 키움증권, 한국증권",KODEX 코스닥 150,코스닥 150,"6,768","2015/09/30","2015/10/01"
미래에셋자산운용,"NH투자증권, 유안타증권, 한국증권, KB증권, SK증권, 하나금융투자, 미래에셋대우",TIGER KTOP30,KTOP 30,"69","2015/10/13","2015/10/14"
삼성자산운용,"DB금투, 미래에셋대우, NH투자증권, KB증권",KODEX KTOP30,KTOP 30,"159","2015/10/13","2015/10/14"
키움투자자산운용,"미래에셋대우, 메리츠, KB증권, 하이증권, 키움증권",KOSEF 미국달러선물 인버스2X(합성),미국달러선물지수,"288","2015/11/11","2015/11/16"
미래에셋자산운용,"씨엘, 삼성증권, 이베스트, 메리츠, 신한투자, KB증권, 미래에셋대우, 하이증권, 한화투자, 부국증권, DB금투, SK증권, NH투자증권, 유안타증권, 교보증권, 키움증권, 하나금융투자, 한국증권, 대신증권",TIGER 코스닥150,코스닥 150,"3,867","2015/11/11","2015/11/12"
한국투자신탁운용,"KB증권, 대신증권",KINDEX 골드선물 인버스2X(합성 H),S&P WCI Gold Excess Return Index,"21","2015/11/27","2015/12/03"
삼성자산운용,"DB금투, 이베스트, 신한투자, 대신증권, 미래에셋대우, 유진증권, 메리츠, NH투자증권, KB증권, SK증권, 하이증권, 키움증권, 삼성증권, 한국증권",KODEX 코스닥150 레버리지,코스닥 150,"11,963","2015/12/16","2015/12/17"
미래에셋자산운용,"이베스트, 한국증권, 대신증권, 메리츠, 신한투자, 씨엘, KB증권, 유안타증권, 하나금융투자, 미래에셋대우, 삼성증권, 하이증권, 한화투자, 부국증권, SK증권, NH투자증권, 교보증권",TIGER 코스닥150 레버리지,코스닥 150,"972","2015/12/16","2015/12/17"
한화자산운용,"메리츠, KB증권, NH투자증권",ARIRANG 스마트베타 LowVOL,WISE 스마트베타 LowVOL 지수,"57","2016/01/11","2016/01/12"
삼성자산운용,"미래에셋대우, KB증권, 메리츠, DB금투, NH투자증권, SK증권",KODEX 코스피100,코스피 100,"179","2016/01/26","2016/01/27"
삼성자산운용,"신한투자, 유진증권, 미래에셋대우, KB증권",KODEX 배당성장채권혼합,배당성장채권혼합지수,"191","2016/01/26","2016/01/27"
미래에셋자산운용,"미래에셋대우, 유진증권, KB증권",TIGER 경기방어채권혼합,경기방어소비재 채권혼합 지수,"131","2016/01/26","2016/01/27"
케이비자산운용,"삼성증권, KB증권, 한국증권, NH투자증권, 키움증권, 유진증권",KBSTAR V&S셀렉트밸류,FnGuide 셀렉트 밸류 지수,"77","2016/02/01","2016/02/02"
한화자산운용,"KB증권, 미래에셋대우",ARIRANG 스마트베타Quality채권혼합,WISE-KAP 스마트베타 Quality 채권혼합지수,"61","2016/02/23","2016/02/24"
한국투자신탁운용,"신한투자, 한국증권, 미래에셋대우",KINDEX 일본Nikkei225(H),Nikkei 225,"85","2016/02/26","2016/03/03"
한화자산운용,"미래에셋대우, KB증권",ARIRANG 우량회사채50 1년,KOBI HALF CREDIT Index(총수익),"106","2016/03/21","2016/03/22"
미래에셋자산운용,"미래에셋대우, 한국증권, 대신증권",TIGER 일본니케이225,Nikkei 225,"140","2016/03/29","2016/03/31"
케이비자산운용,"한국증권, 삼성증권, KB증권",KBSTAR V&S셀렉트밸류채권혼합,FnGuide 셀렉트벨류 채권혼합지수,"63","2016/04/11","2016/04/12"
삼성자산운용,"한국증권, 대신증권, 메리츠",KODEX 바이오,FnGuide 바이오 지수,"151","2016/05/12","2016/05/13"
미래에셋자산운용,"대신증권, 미래에셋대우, 메리츠, 한국증권",TIGER 인도니프티50레버리지(합성),Nifty 50 Index,"158","2016/05/12","2016/05/13"
미래에셋자산운용,"NH투자증권, KB증권, 한화투자, 미래에셋대우, SK증권, 메리츠, 하이증권, 유안타증권, 키움증권",TIGER 200IT레버리지,코스피 200 정보기술,"212","2016/05/12","2016/05/13"
미래에셋자산운용,"KB증권, NH투자증권, 한화투자, 미래에셋대우, SK증권, 메리츠, 하이증권, 유안타증권",TIGER 200에너지화학레버리지,코스피 200 에너지/화학,"114","2016/05/12","2016/05/13"
삼성자산운용,"한국증권, NH투자증권, 미래에셋대우, 메리츠, KB증권",KODEX 모멘텀Plus,FnGuide 모멘텀 Plus 지수,"187","2016/05/12","2016/05/13"
삼성자산운용,"메리츠, KB증권, NH투자증권",KODEX 퀄리티Plus,FnGuide 퀄리티 Plus 지수,"130","2016/05/12","2016/05/13"
삼성자산운용,"대신증권, 미래에셋대우, NH투자증권, 메리츠, KB증권",KODEX 밸류Plus,FnGuide 벨류 Plus 지수,"130","2016/05/12","2016/05/13"
미래에셋자산운용,"메리츠, 미래에셋대우, 하이증권, 한국증권, 대신증권, NH투자증권",TIGER 차이나HSCEI,Hang Seng China H,"699","2016/06/14","2016/06/16"
삼성자산운용,"NH투자증권, 미래에셋대우, KB증권, 메리츠, 대신증권",KODEX 가치투자,FnGuide 가치투자형 지수,"73","2016/06/23","2016/06/24"
삼성자산운용,"NH투자증권, KB증권, 메리츠, 신한투자, DB금투",KODEX 성장투자,FnGuide 성장투자형 지수,"154","2016/06/23","2016/06/24"
삼성자산운용,"NH투자증권, KB증권, 메리츠, 키움증권",KODEX 턴어라운드투자,FnGuide 턴어라운드투자형 지수,"207","2016/06/23","2016/06/24"
미래에셋자산운용,"한국증권, 대신증권",TIGER 미국다우존스30,Dow Jones Industrial Average,"258","2016/06/29","2016/07/01"
미래에셋자산운용,"한국증권, 대신증권",TIGER 유로스탁스배당30,Euro STOXX Select Dividend 30,"128","2016/06/29","2016/07/01"
미래에셋자산운용,"메리츠, 한국증권, 대신증권",TIGER 일본TOPIX헬스케어(합성),TOPIX-17 Pharmaceutical Index,"103","2016/06/29","2016/07/01"
미래에셋자산운용,"메리츠, 한국증권, 대신증권",TIGER S&P글로벌헬스케어(합성),S&P Global 1200 Health Care Index,"130","2016/06/29","2016/07/01"
한국투자신탁운용,"대신증권, 메리츠, NH투자증권, 삼성증권",KINDEX 베트남VN30(합성),VN30 Index(PR),"2,191","2016/06/28","2016/07/01"
케이비자산운용,"NH투자증권, KB증권, 삼성증권",KBSTAR 차이나HSCEI(H),Hang Seng China H,"99","2016/08/04","2016/08/10"
삼성자산운용,"DB금투, 이베스트, KB증권, 삼성증권, 유진증권, 메리츠, 하이증권, 키움증권, 신한투자, 한국증권, NH투자증권, 미래에셋대우",KODEX 코스닥150선물인버스,F-코스닥150 지수,"1,420","2016/08/09","2016/08/10"
미래에셋자산운용,"이베스트, 메리츠, 신한투자, 한국증권, 미래에셋대우, KB증권, 하나금융투자, 삼성증권, 한화투자, 부국증권, 하이증권, 유안타증권, SK증권, NH투자증권, 교보증권",TIGER 코스닥150선물인버스,F-코스닥150 지수,"92","2016/08/04","2016/08/10"
한화자산운용,"신한투자, 유진증권, 메리츠, NH투자증권, 삼성증권",ARIRANG 고배당저변동50,FnGuide 고배당저변동50 지수,"294","2016/08/10","2016/08/11"
한화자산운용,"미래에셋대우, KB증권",ARIRANG 고배당주채권혼합,FnGuide 고배당 채권혼합 지수,"116","2016/08/10","2016/08/11"
삼성자산운용,"신한투자, 미래에셋대우, 키움증권",KODEX 선진국MSCI World,MSCI World,"3,887","2016/08/08","2016/08/17"
한국투자신탁운용,NH투자증권,KINDEX 코스닥(합성),코스닥지수,"59","2016/09/01","2016/09/06"
미래에셋자산운용,"신한투자, 메리츠, NH투자증권, 미래에셋대우, KB증권",TIGER 200동일가중,코스피 200 동일가중지수,"461","2016/09/19","2016/09/20"
케이비자산운용,"하이증권, KB증권, 미래에셋대우, 삼성증권, BNK증권, 신한투자, SK증권, 메리츠, 이베스트, 유안타증권, NH투자증권, 키움증권",KBSTAR 200선물레버리지,코스피 200 선물지수,"410","2016/09/08","2016/09/12"
케이비자산운용,"하이증권, KB증권, 미래에셋대우, 삼성증권, BNK증권, 신한투자, 메리츠, 이베스트, NH투자증권, 키움증권",KBSTAR 200선물인버스,코스피 200 선물지수,"54","2016/09/08","2016/09/12"
키움투자자산운용,"미래에셋대우, 메리츠, SK증권, 키움증권, KB증권, NH투자증권, 이베스트",KOSEF 200선물레버리지,코스피 200 선물지수,"268","2016/09/09","2016/09/12"
키움투자자산운용,"미래에셋대우, 메리츠, SK증권, 키움증권, KB증권, NH투자증권",KOSEF 200선물인버스,코스피 200 선물지수,"87","2016/09/09","2016/09/12"
삼성자산운용,"신한투자, DB금투, 하나금융투자, 메리츠, NH투자증권",KODEX 200동일가중,코스피 200 동일가중지수,"507","2016/09/19","2016/09/20"
케이비자산운용,"유안타증권, 하이증권, KB증권, 미래에셋대우, 삼성증권, BNK증권, 신한투자, SK증권, 하나금융투자, 메리츠, 이베스트, NH투자증권, 키움증권",KBSTAR 200선물인버스2X,코스피 200 선물지수,"390","2016/09/21","2016/09/22"
미래에셋자산운용,"교보증권, 하나금융투자, 한화투자, SK증권, 신한투자, 한국증권, 대신증권, 미래에셋대우, NH투자증권, 이베스트, 하이증권, 부국증권, 메리츠, 유안타증권, KB증권, 키움증권",TIGER 200선물인버스2X,코스피 200 선물지수,"971","2016/09/21","2016/09/22"
삼성자산운용,"이베스트, 신한투자, 한국증권, 대신증권, 미래에셋대우, 유진증권, 메리츠, NH투자증권, KB증권, SK증권, 삼성증권, DB금투, 하이증권, 키움증권, BNK증권",KODEX 200선물인버스2X,코스피 200 선물지수,"4,887","2016/09/21","2016/09/22"
키움투자자산운용,"미래에셋대우, 메리츠, SK증권, 키움증권, KB증권, NH투자증권, 이베스트",KOSEF 200선물인버스2X,코스피 200 선물지수,"123","2016/09/21","2016/09/22"
한화자산운용,"메리츠, NH투자증권, SK증권, 미래에셋대우, KB증권",ARIRANG 200선물인버스2X,코스피 200 선물지수,"37","2016/09/20","2016/09/22"
케이비자산운용,"삼성증권, KB증권, 메리츠, NH투자증권, 키움증권",KBSTAR 헬스케어,FnGuide 헬스케어 지수,"83","2016/09/22","2016/09/23"
케이비자산운용,"삼성증권, KB증권, 메리츠, NH투자증권",KBSTAR 헬스케어채권혼합,FnGuide 헬스케어 채권혼합 지수,"81","2016/09/22","2016/09/23"
한화자산운용,"미래에셋대우, KB증권, 메리츠, NH투자증권, SK증권",ARIRANG 200선물레버리지,코스피 200 선물지수,"77","2016/09/27","2016/09/29"
미래에셋자산운용,"한국증권, 미래에셋대우, 유안타증권",TIGER 대만TAIEX선물(H),TAIEX 지수,"105","2016/10/05","2016/10/07"
케이비자산운용,"KB증권, 삼성증권, 메리츠, NH투자증권, 키움증권",KBSTAR 모멘텀밸류,FnGuide 모멘텀&밸류 지수,"237","2016/10/13","2016/10/14"
케이비자산운용,"KB증권, 삼성증권, 메리츠, NH투자증권, 키움증권",KBSTAR 모멘텀로우볼,FnGuide 모멘텀&로우볼 지수,"253","2016/10/13","2016/10/14"
한국투자신탁운용,NH투자증권,KINDEX 인도네시아MSCI(합성),MSCI Indonesia Index,"215","2016/10/27","2016/11/01"
삼성자산운용,"미래에셋대우, NH투자증권",KODEX 심천ChiNext(합성),SZSE ChiNext Price Index,"95","2016/11/07","2016/11/08"
한화자산운용,"미래에셋대우, NH투자증권",ARIRANG 심천차이넥스트(합성),SZSE ChiNext Price Index,"40","2016/11/07","2016/11/08"
미래에셋자산운용,"하이증권, NH투자증권, 미래에셋대우, KB증권, 메리츠, 키움증권",TIGER 코스닥150IT,코스닥 150 정보기술,"100","2016/12/14","2016/12/15"
미래에셋자산운용,"하이증권, NH투자증권, 미래에셋대우, KB증권, 메리츠",TIGER 코스닥150바이오테크,코스닥 150 생명기술,"60","2016/12/14","2016/12/15"
키움투자자산운용,"한국증권, 미래에셋대우, KB증권, 키움증권, NH투자증권",KOSEF 배당바이백Plus,WISE 배당바이백플러스 지수,"108","2016/12/15","2016/12/16"
키움투자자산운용,"한국증권, 미래에셋대우, KB증권, 키움증권, NH투자증권",KOSEF 저PBR가중,FnGuide 저BPR 가중 지수,"89","2016/12/15","2016/12/16"
삼성자산운용,"삼성증권, 미래에셋대우, 한국증권, 신한투자, 유진증권, 하이증권",KODEX WTI원유선물(H),S&P GSCI Crude Oil Index ER,"125","2016/12/23","2016/12/27"
한국투자신탁운용,"미래에셋대우, NH투자증권",KINDEX 필리핀MSCI(합성),MSCI Philippines IMI Index,"68","2016/12/23","2016/12/28"
삼성자산운용,"삼성증권, 키움증권, 미래에셋대우, KB증권, 신한투자, 유진증권, 하이증권, 하나금융투자",KODEX 미국달러선물,미국달러선물지수,"193","2016/12/26","2016/12/27"
삼성자산운용,"삼성증권, 키움증권, KB증권, 미래에셋대우, 신한투자, 유진증권, SK증권, 하이증권",KODEX 미국달러선물인버스,미국달러선물지수,"72","2016/12/26","2016/12/27"
삼성자산운용,"삼성증권, 키움증권, 미래에셋대우, KB증권, 신한투자, 유진증권, SK증권, 하이증권",KODEX 미국달러선물레버리지,미국달러선물지수,"207","2016/12/26","2016/12/27"
삼성자산운용,"삼성증권, 키움증권, KB증권, 신한투자, 유진증권, 하이증권, 하나금융투자",KODEX 미국달러선물인버스2X,미국달러선물지수,"90","2016/12/26","2016/12/27"
미래에셋자산운용,"키움증권, 한국증권, 대신증권, 미래에셋대우",TIGER 미국달러선물레버리지,미국달러선물지수,"100","2016/12/23","2016/12/27"
미래에셋자산운용,"키움증권, 한국증권, 대신증권, 미래에셋대우",TIGER 미국달러선물인버스2X,미국달러선물지수,"272","2016/12/23","2016/12/27"
미래에셋자산운용,"NH투자증권, 미래에셋대우, 메리츠, KB증권",TIGER 우선주,코스피 우선주 지수,"274","2017/01/05","2017/01/06"
한화자산운용,"미래에셋대우, KB증권, IBK증권",ARIRANG 단기우량채권,KAP Money Market Credit Index(Total Retrun),"240","2017/01/24","2017/01/25"
한국투자신탁운용,"미래에셋대우, 메리츠, NH투자증권",KINDEX 러시아MSCI(합성),MSCI Russia 25% Capped Price Return Index,"116","2017/03/16","2017/03/21"
삼성자산운용,"키움증권, NH투자증권, 메리츠",KODEX 헬스케어,KRX 헬스케어,"75","2017/03/27","2017/03/28"
한화자산운용,"메리츠, 삼성증권, 유진증권, NH투자증권, 유안타증권",ARIRANG 중형주저변동50,FnGuide 중형주저변동50지수,"231","2017/03/27","2017/03/28"
삼성자산운용,"메리츠, 키움증권, NH투자증권",KODEX 필수소비재,KRX 필수소비재,"415","2017/03/27","2017/03/28"
삼성자산운용,"키움증권, 메리츠, NH투자증권",KODEX 경기소비재,KRX 경기소비재,"93","2017/03/27","2017/03/28"
삼성자산운용,"키움증권, 유안타증권, NH투자증권, 메리츠",KODEX IT,KRX 정보기술,"71","2017/03/27","2017/03/28"
삼성자산운용,"키움증권, 메리츠, NH투자증권",KODEX 미디어&엔터테인먼트,KRX 미디어&엔터테인먼트,"95","2017/03/27","2017/03/28"
미래에셋자산운용,"미래에셋대우, 메리츠, KB증권, NH투자증권",TIGER 지속배당,WISE 지속배당 지수,"75","2017/03/29","2017/03/30"
케이비자산운용,"NH투자증권, KB증권, 삼성증권, 메리츠, DB금투, 신한투자, 하이증권, 유안타증권, 키움증권",KBSTAR 고배당,FnGuide 고배당포커스 지수,"544","2017/04/13","2017/04/14"
미래에셋자산운용,"미래에셋대우, 메리츠, KB증권, NH투자증권",TIGER 코스닥150로우볼,코스닥 150 저변동성,"66","2017/04/21","2017/04/25"
케이비자산운용,"미래에셋대우, NH투자증권, KB증권, 삼성증권, 키움증권",KBSTAR 미국장기국채선물(H),S&P U.S. Treasury Bond Futures Excess Return Index,"63","2017/04/14","2017/04/20"
케이비자산운용,"미래에셋대우, NH투자증권, KB증권, 삼성증권, 키움증권",KBSTAR 미국장기국채선물인버스(H),S&P U.S. Treasury Bond Futures Excess Return Index,"56","2017/04/14","2017/04/20"
케이비자산운용,"미래에셋대우, NH투자증권, KB증권, 삼성증권, 키움증권",KBSTAR 미국장기국채선물레버리지(합성 H),S&P U.S. Treasury Bond Futures Excess Return Index,"77","2017/04/14","2017/04/20"
케이비자산운용,"미래에셋대우, NH투자증권, KB증권, 삼성증권, 키움증권",KBSTAR 미국장기국채선물인버스2X(합성 H),S&P U.S. Treasury Bond Futures Excess Return Index,"59","2017/04/14","2017/04/20"
미래에셋자산운용,"메리츠, 신한투자, 교보증권, 한국증권, 대신증권, 미래에셋대우, NH투자증권, KB증권, 한화투자, 유안타증권, 이베스트, 씨엘, SK증권, 하이증권, 부국증권, 키움증권",TIGER 200선물레버리지,코스피 200 선물지수,"1,201","2017/04/24","2017/04/25"
한화자산운용,"신한투자, 미래에셋대우, KB증권, 하이증권",ARIRANG 미국S&P500(H),S&P 500,"163","2017/05/11","2017/05/16"
한화자산운용,"한국증권, 미래에셋대우",ARIRANG S&P글로벌인프라,S&P Global Infrastructure Index,"71","2017/05/10","2017/05/16"
미래에셋자산운용,"한국증권, 대신증권, 메리츠",TIGER S&P글로벌인프라(합성),S&P Global Infrastructure Index,"116","2017/05/15","2017/05/16"
삼성자산운용,"신한투자, 미래에셋대우, NH투자증권",KODEX S&P글로벌인프라(합성),S&P Global Infrastructure Index,"120","2017/05/15","2017/05/16"
삼성자산운용,"신한투자, 유진증권, 삼성증권, 하이증권, 한국증권",KODEX WTI원유선물인버스(H),S&P GSCI Crude Oil Index ER,"26","2017/06/12","2017/06/13"
삼성자산운용,"신한투자, 한국증권, 유진증권",KODEX 3대농산물선물(H),S&P GSCI Grains Select Index ER,"65","2017/06/12","2017/06/13"
케이비자산운용,"NH투자증권, 하나금융투자, 삼성증권, 유안타증권, KB증권, 키움증권, 메리츠, 신한투자, 하이증권, 한국증권, BNK증권, DB금투",KBSTAR 코스닥150,코스닥 150,"1,802","2017/06/15","2017/06/16"
케이비자산운용,"키움증권, 미래에셋대우, KB증권",KBSTAR 단기국공채액티브,KIS 종합채권국공채3M~1.5Y지수,"936","2017/06/28","2017/06/29"
케이비자산운용,"키움증권, 미래에셋대우, KB증권",KBSTAR 중장기국공채액티브,KIS 종합채권국공채4~5Y지수,"618","2017/06/28","2017/06/29"
삼성자산운용,"키움증권, 미래에셋대우, KB증권",KODEX 종합채권(AA-이상)액티브,KAP 한국종합채권지수,"9,177","2017/06/16","2017/06/29"
삼성자산운용,"미래에셋대우, 메리츠, 키움증권",KODEX 단기변동금리부채권액티브,KAP 단기변동금리부은행채권지수,"1,339","2017/06/28","2017/06/29"
미래에셋자산운용,"키움증권, 미래에셋대우, 메리츠",TIGER 단기채권액티브,KIS 통안채 3개월(총수익),"4,393","2017/06/28","2017/06/29"
한국투자신탁운용,"키움증권, 미래에셋대우, KB증권",KINDEX 중장기국공채액티브,KIS 종합채권국공채1-10Y지수,"334","2017/06/28","2017/06/29"
삼성자산운용,"NH투자증권, 신한투자, 메리츠, KB증권",KODEX MSCI모멘텀,MSCI Korea IMI Momentum Capped,"50","2017/07/10","2017/07/11"
삼성자산운용,"NH투자증권, 메리츠, 신한투자, 유진증권, KB증권",KODEX MSCI밸류,MSCI Korea IMI Enhanced Value Capped,"163","2017/07/10","2017/07/11"
삼성자산운용,"메리츠, 유진증권, NH투자증권, KB증권, 하이증권",KODEX MSCI퀄리티,MSCI Korea IMI Quality Capped,"86","2017/07/10","2017/07/11"
케이비자산운용,"미래에셋대우, DB금투, 신한투자, 유진증권, 메리츠, NH투자증권, KB증권, 삼성증권, 키움증권",KBSTAR KQ고배당,FnGuide KQ고배당포커스 지수,"668","2017/07/06","2017/07/07"
한국투자신탁운용,"메리츠, NH투자증권, 한국증권, KB증권",KINDEX 스마트모멘텀,FnGuide 스마트 모멘텀 지수,"91","2017/07/07","2017/07/11"
한국투자신탁운용,"메리츠, NH투자증권, 한국증권, KB증권",KINDEX 스마트밸류,FnGuide 스마트 밸류 지수,"116","2017/07/07","2017/07/11"
교보악사자산운용,"미래에셋대우, NH투자증권, 교보증권, KB증권, SK증권, DB금투, 하이증권",파워 스마트밸류,KRX 스마트 밸류지수,"81","2017/07/10","2017/07/11"
케이비자산운용,"NH투자증권, 한국증권, BNK증권, 메리츠, KB증권, 유안타증권, 키움증권",KBSTAR 코스닥150선물인버스,F-코스닥150 지수,"17","2017/07/31","2017/08/01"
미래에셋자산운용,"미래에셋대우, 한국증권, 대신증권, 메리츠, 신한투자",TIGER 글로벌4차산업혁신기술(합성 H),MorningStar Exponential Technologies Index(PR),"1,967","2017/07/28","2017/08/01"
미래에셋자산운용,"한국증권, 대신증권, 메리츠",TIGER 글로벌자원생산기업(합성 H),MorningStar Global Upstream Resources Index(PR),"114","2017/07/28","2017/08/01"
삼성자산운용,신한투자,KODEX 미국S&P고배당커버드콜(합성 H),S&P500 Dividend Aristocrats Covered Call(7.2% Premium) Index,"176","2017/08/09","2017/08/10"
케이비자산운용,"키움증권, NH투자증권, 삼성증권",KBSTAR 글로벌4차산업IT(합성 H),S&P Global 1200 Information Technology and Interactive Media & Services(PR),"72","2017/08/14","2017/08/17"
