운용사,유동성공급자(LP),종목명,기초지수명,순자산규모(억원),최초설정일,상장일
삼성자산운용,"미래에셋대우, 신한투자, NH투자증권",KODEX 글로벌4차산업로보틱스(합성),ROBO Global Robotics & Automation UCITS Price Return Index,"148","2017/08/16","2017/08/17"
한국투자신탁운용,"신한투자, 한국증권, 미래에셋대우",KINDEX S&P아시아TOP50,S&P ASIA50 Price Return Index,"587","2017/08/18","2017/08/23"
케이비자산운용,"신한투자, 메리츠, KB증권, 하이증권, 키움증권, NH투자증권, 한국증권, BNK증권",KBSTAR 코스닥150선물레버리지,F-코스닥150 지수,"1,480","2017/08/30","2017/08/31"
한화자산운용,"메리츠, 삼성증권, 하이증권, NH투자증권",ARIRANG ESG우수기업,WISE ESG우수기업 지수,"169","2017/08/30","2017/08/31"
미래에셋자산운용,"미래에셋대우, 메리츠, NH투자증권, KB증권, 키움증권, DB금투, 유안타증권, 하이증권, 유진증권",TIGER 코스피,코스피,"1,862","2017/08/30","2017/08/31"
미래에셋자산운용,"미래에셋대우, 메리츠, NH투자증권, KB증권",TIGER 코스피대형주,코스피 대형주,"376","2017/08/30","2017/08/31"
미래에셋자산운용,"미래에셋대우, 메리츠, NH투자증권, KB증권, 키움증권",TIGER 코스피중형주,코스피 중형주,"835","2017/08/30","2017/08/31"
한화자산운용,"미래에셋대우, KB증권, IBK증권",ARIRANG 단기채권액티브,"KAP 투자적격 크레딧 채권 1년 지수(A- 이상,총수익)","276","2017/09/22","2017/09/26"
한국투자신탁운용,"NH투자증권, 삼성증권",KINDEX 미국4차산업인터넷(합성 H),다우존스 인터넷 종합지수,"110","2017/10/12","2017/10/17"
삼성자산운용,"유진증권, 메리츠, NH투자증권, DB금투",KODEX 고배당,FnGuide 고배당 Plus 지수,"629","2017/10/16","2017/10/17"
삼성자산운용,"신한투자, NH투자증권, 하나금융투자, 메리츠",KODEX 최소변동성,KRX 최소변동성지수,"126","2017/10/16","2017/10/17"
한화자산운용,"한국증권, 메리츠, KB증권, 삼성증권, NH투자증권",ARIRANG 주도업종,FnGuide 주도업종 지수,"95","2017/10/16","2017/10/17"
케이비자산운용,"메리츠, NH투자증권, KB증권, 삼성증권, 키움증권",KBSTAR 중소형고배당,FnGuide 중소형고배당포커스 지수,"341","2017/11/01","2017/11/02"
삼성자산운용,"KB증권, 삼성증권, DB금투, 하이증권",KODEX 미국러셀2000(H),FTSE Russell 2000 Index,"67","2017/11/07","2017/11/09"
삼성자산운용,"삼성증권, DB금투, 하이증권, KB증권",KODEX 골드선물인버스(H),S&P GSCI GOLD Index Excess Return,"47","2017/11/07","2017/11/09"
케이비자산운용,"미래에셋대우, 메리츠, KB증권, 키움증권",KBSTAR 국고채3년선물인버스,국채선물지수,"725","2017/11/08","2017/11/09"
삼성자산운용,"신한투자, 한국증권, 대신증권, 미래에셋대우, 유진증권, 메리츠, NH투자증권, KB증권, 한화투자, 유안타증권, 삼성증권, DB금투, 씨엘, 하이증권, 키움증권, 이베스트",KODEX MSCI Korea TR,MSCI Korea TR Index,"8,389","2017/11/08","2017/11/09"
삼성자산운용,"신한투자, 한국증권, 대신증권, 미래에셋대우, 유진증권, 메리츠, NH투자증권, KB증권, 유안타증권, SK증권, 삼성증권, DB금투, 하이증권, 키움증권, 이베스트, BNK증권",KODEX 200TR,코스피 200 TR,"9,826","2017/11/20","2017/11/21"
케이비자산운용,"NH투자증권, KB증권, 삼성증권, 키움증권",KBSTAR 지주회사,WISE 지주회사테마지수(시장가격지수),"59","2017/11/27","2017/11/30"
삼성자산운용,"유진증권, 키움증권",KODEX 200미국채혼합,코스피 200 미국채 혼합지수,"101","2017/11/28","2017/11/30"
케이비자산운용,"유안타증권, 메리츠, NH투자증권, KB증권, 키움증권",KBSTAR 200IT,코스피 200 정보기술,"692","2017/12/07","2017/12/08"
케이비자산운용,"메리츠, NH투자증권, KB증권, 키움증권",KBSTAR 200금융,코스피 200 금융,"56","2017/12/07","2017/12/08"
케이비자산운용,"유안타증권, 메리츠, NH투자증권, KB증권, 키움증권",KBSTAR 200에너지화학,코스피 200 에너지/화학,"43","2017/12/07","2017/12/08"
케이비자산운용,"메리츠, NH투자증권, KB증권, 키움증권",KBSTAR 200중공업,코스피 200 중공업,"50","2017/12/07","2017/12/08"
케이비자산운용,"메리츠, NH투자증권, KB증권, 키움증권",KBSTAR 200철강소재,코스피 200 철강/소재,"40","2017/12/07","2017/12/08"
삼성자산운용,"키움증권, 신한투자, 미래에셋대우",KODEX 중국본토CSI300,CSI 300 Index,"565","2017/11/29","2017/12/13"
하이자산운용,"신한투자, 한국증권, 미래에셋대우, 유진증권, 메리츠, NH투자증권, 한화투자, SK증권, 삼성증권, 하이증권, 하나금융투자",FOCUS ESG리더스,KRX ESG Leaders 150,"243","2017/12/12","2017/12/13"
한화자산운용,"한국증권, 미래에셋대우, 한화투자",ARIRANG 미국나스닥기술주,NASDAQ 100 Technology Sector Index,"93","2017/12/12","2017/12/13"
케이비자산운용,"메리츠, NH투자증권, KB증권, 키움증권",KBSTAR 200생활소비재,코스피 200 생활소비재,"41","2017/12/21","2017/12/22"
케이비자산운용,"메리츠, NH투자증권, KB증권, 키움증권",KBSTAR 200경기소비재,코스피 200 경기소비재,"49","2017/12/21","2017/12/22"
케이비자산운용,"메리츠, NH투자증권, KB증권, 키움증권",KBSTAR 200건설,코스피 200 건설,"55","2017/12/21","2017/12/22"
케이비자산운용,"메리츠, NH투자증권, KB증권, 키움증권",KBSTAR 200산업재,코스피 200 산업재,"45","2017/12/21","2017/12/22"
삼성자산운용,"NH투자증권, 신한투자, DB금투, 하나금융투자",KODEX MSCI KOREA ESG유니버설,MSCI Korea ESG Universal Capped Index,"204","2018/02/06","2018/02/07"
미래에셋자산운용,"미래에셋대우, 메리츠, NH투자증권, KB증권",TIGER MSCI KOREA ESG유니버설,MSCI Korea ESG Universal Index,"56","2018/02/06","2018/02/07"
미래에셋자산운용,"미래에셋대우, 메리츠, NH투자증권, KB증권",TIGER MSCI KOREA ESG리더스,MSCI Korea Country ESG Leaders Capped Index,"51","2018/02/06","2018/02/07"
한화자산운용,"미래에셋대우, 메리츠, IBK증권",ARIRANG 국채선물10년,10년국채선물지수,"59","2018/02/05","2018/02/07"
미래에셋자산운용,"미래에셋대우, NH투자증권, DB금투, 유안타증권",TIGER 200커버드콜ATM,코스피 200 커버드콜 ATM 지수,"117","2018/02/08","2018/02/09"
케이비자산운용,"KB증권, 키움증권, NH투자증권",KBSTAR ESG사회책임투자,KRX ESG 사회책임경영지수(S),"63","2018/02/26","2018/02/27"
케이비자산운용,"NH투자증권, KB증권",KBSTAR 200고배당커버드콜ATM,코스피 200 고배당커버드콜 ATM 지수(시장가격지수),"70","2018/02/26","2018/02/27"
한국투자신탁운용,"NH투자증권, 삼성증권",KINDEX 멕시코MSCI(합성),MSCI MEXICO IMI 25/50 Price return Index,"76","2018/03/06","2018/03/09"
키움투자자산운용,"미래에셋대우, NH투자증권, KB증권, 키움증권",KOSEF 코스닥150선물,F-코스닥150 지수,"37","2018/03/15","2018/03/16"
키움투자자산운용,"미래에셋대우, NH투자증권, KB증권, 키움증권",KOSEF 코스닥150선물인버스,F-코스닥150 지수,"118","2018/03/15","2018/03/16"
키움투자자산운용,"미래에셋대우, NH투자증권, KB증권, 키움증권",KOSEF 코스닥150선물레버리지,F-코스닥150 지수,"65","2018/03/15","2018/03/16"
삼성자산운용,"유진증권, KB증권, 하이증권",KODEX China H선물인버스(H),Hang Seng China Enterprises Futures Index(Price Return),"43","2018/03/15","2018/03/16"
케이비자산운용,"NH투자증권, KB증권",KBSTAR 차이나H선물인버스(H),Hang Seng China Enterprises Futures Index(Price Return),"58","2018/03/22","2018/03/23"
디비자산운용,"NH투자증권, DB금투, 미래에셋대우",마이티 200커버드콜ATM레버리지,코스피 200 커버드콜 ATM 지수,"129","2018/03/19","2018/03/20"
삼성자산운용,"유진증권, KB증권, 하이증권",KODEX MSCI EM선물(H),iEdge Emerging Markets Futures Index(ER),"43","2018/03/21","2018/03/23"
신한비엔피파리바자산,"신한투자, 미래에셋대우, NH투자증권, 키움증권, 하나금융투자",SMART KRX300,KRX 300,"681","2018/03/23","2018/03/26"
미래에셋자산운용,"교보증권, 신한투자, 한국증권, 미래에셋대우, 메리츠, NH투자증권, KB증권, 한화투자, 유안타증권, 삼성증권, DB금투, 키움증권, 하나금융투자, 하이증권",TIGER KRX300,KRX 300,"539","2018/03/23","2018/03/26"
한화자산운용,"한국증권, 메리츠, NH투자증권, 한화투자, SK증권, 삼성증권, DB금투, 하이증권, KB증권",ARIRANG KRX300,KRX 300,"313","2018/03/23","2018/03/26"
삼성자산운용,"교보증권, 신한투자, 한국증권, 대신증권, 미래에셋대우, 유진증권, 메리츠, NH투자증권, KB증권, 한화투자, 유안타증권, SK증권, 삼성증권, DB금투, 하이증권, 키움증권, 하나금융투자",KODEX KRX300,KRX 300,"1,166","2018/03/23","2018/03/26"
케이비자산운용,"DB금투, 한국증권, 대신증권, 메리츠, NH투자증권, KB증권, 한화투자, 유안타증권, 하이증권, 키움증권, BNK증권",KBSTAR KRX300,KRX 300,"680","2018/03/23","2018/03/26"
하이자산운용,"메리츠, KB증권, 한화투자, 하이증권, 교보증권, 한국증권",FOCUS KRX300,KRX 300,"164","2018/03/23","2018/03/26"
엔에이치아문디자산운용,"신한투자, 미래에셋대우, 유진증권, 메리츠, NH투자증권, SK증권, KB증권, BNK증권, 한국증권, 키움증권, 한화투자, 삼성증권, 유안타증권, 이베스트, 하나금융투자, 하이증권",HANARO 200,코스피 200,"7,966","2018/03/29","2018/03/30"
미래에셋자산운용,"미래에셋대우, 메리츠, NH투자증권, KB증권, 유안타증권, 삼성증권",TIGER TOP10,FnGuide TOP10 지수,"5,263","2018/03/29","2018/03/30"
미래에셋자산운용,"미래에셋대우, 메리츠, NH투자증권, KB증권, 키움증권",TIGER 대형가치,FnGuide 대형가치 지수,"175","2018/03/29","2018/03/30"
미래에셋자산운용,"미래에셋대우, 메리츠, NH투자증권, KB증권",TIGER 중소형,FnGuide 중소형 지수,"52","2018/03/29","2018/03/30"
미래에셋자산운용,"미래에셋대우, 메리츠, NH투자증권, KB증권, 키움증권",TIGER 대형성장,FnGuide 대형성장 지수,"128","2018/03/29","2018/03/30"
미래에셋자산운용,"미래에셋대우, 메리츠, NH투자증권, KB증권, 키움증권",TIGER 중소형가치,FnGuide 중소형가치 지수,"169","2018/03/29","2018/03/30"
미래에셋자산운용,"미래에셋대우, 메리츠, NH투자증권, KB증권, 키움증권",TIGER 중소형성장,FnGuide 중소형성장 지수,"60","2018/03/29","2018/03/30"
삼성자산운용,"메리츠, KB증권, 키움증권",KODEX 국채선물3년인버스,국채선물지수,"51","2018/04/12","2018/04/13"
미래에셋자산운용,"한국증권, 미래에셋대우, 메리츠, 신한투자",TIGER 일본엔선물,엔선물지수,"86","2018/04/16","2018/04/17"
미래에셋자산운용,"한국증권, 미래에셋대우, 메리츠, 신한투자",TIGER 일본엔선물인버스,엔선물지수,"66","2018/04/16","2018/04/17"
미래에셋자산운용,"미래에셋대우, 한국증권, 메리츠, 신한투자",TIGER 일본엔선물레버리지,엔선물지수,"79","2018/04/16","2018/04/17"
미래에셋자산운용,"한국증권, 미래에셋대우, 메리츠, 신한투자",TIGER 일본엔선물인버스2X,엔선물지수,"60","2018/04/16","2018/04/17"
키움투자자산운용,"미래에셋대우, 메리츠, NH투자증권, KB증권, 삼성증권, 키움증권, 하이증권",KOSEF 200TR,코스피 200 TR,"2,582","2018/04/20","2018/04/23"
신한비엔피파리바자산,"교보증권, 신한투자, NH투자증권, 키움증권, 이베스트, 미래에셋대우",SMART 200TR,코스피 200 TR,"4,905","2018/04/20","2018/04/23"
케이비자산운용,"메리츠, KB증권, 키움증권",KBSTAR 국채선물10년,10년국채선물지수,"329","2018/05/10","2018/05/11"
케이비자산운용,"메리츠, KB증권, 키움증권",KBSTAR 국채선물10년인버스,10년국채선물지수,"60","2018/05/10","2018/05/11"
한화자산운용,"메리츠, NH투자증권, KB증권, 한화투자",ARIRANG 200동일가중,코스피 200 동일가중지수,"51","2018/05/10","2018/05/11"
한화자산운용,"메리츠, NH투자증권, KB증권, 한화투자",ARIRANG 200퀄리티,코스피 200 퀄리티 가중 지수,"55","2018/05/10","2018/05/11"
한화자산운용,"메리츠, NH투자증권, KB증권, 한화투자",ARIRANG 200밸류,코스피 200 밸류 가중 지수,"81","2018/05/10","2018/05/11"
한화자산운용,"메리츠, NH투자증권, KB증권, 한화투자",ARIRANG 200모멘텀,코스피 200 모멘텀 가중 지수,"59","2018/05/10","2018/05/11"
한화자산운용,"메리츠, NH투자증권, KB증권, 한화투자",ARIRANG 200로우볼,코스피 200 로우볼 가중 지수,"101","2018/05/10","2018/05/11"
한국투자신탁운용,"미래에셋대우, 한국증권, 키움증권",KINDEX 국채선물3년인버스,국채선물지수,"50","2018/06/05","2018/06/08"
한화자산운용,"미래에셋대우, 메리츠, 한화투자, IBK증권",ARIRANG 국채선물3년,국채선물지수,"61","2018/06/07","2018/06/08"
한국투자신탁운용,"미래에셋대우, 한국증권, 키움증권",KINDEX 국채선물10년인버스,10년국채선물지수,"46","2018/06/05","2018/06/08"
삼성자산운용,"미래에셋대우, 유안타증권",KODEX 한국대만IT프리미어,한국 대만 IT 프리미어지수,"49","2018/06/07","2018/06/11"
삼성자산운용,"한국증권, 메리츠, NH투자증권",KODEX FnKorea50,FnKorea 50 지수,"66","2018/06/07","2018/06/08"
한화자산운용,"메리츠, 한국증권, NH투자증권, 한화투자",ARIRANG 코스피중형주,코스피 중형주,"33","2018/07/04","2018/07/05"
한화자산운용,"한화투자, 메리츠, NH투자증권, 한국증권, SK증권",ARIRANG 코스닥150,코스닥 150,"20","2018/07/04","2018/07/05"
한화자산운용,"유진증권, 메리츠, KB증권, SK증권, NH투자증권",ARIRANG 코스닥150선물인버스,F-코스닥150 지수,"65","2018/07/10","2018/07/11"
케이비자산운용,"KB증권, 메리츠, NH투자증권, 키움증권",KBSTAR KQ모멘텀로우볼,FnGuide KQ 모멘텀&로우볼 지수,"37","2018/07/17","2018/07/18"
케이비자산운용,"KB증권, 메리츠, NH투자증권, 키움증권",KBSTAR KQ모멘텀밸류,FnGuide KQ 모멘텀&밸류 지수,"39","2018/07/17","2018/07/18"
케이비자산운용,"메리츠, NH투자증권, 키움증권, KB증권",KBSTAR 중소형모멘텀로우볼,FnGuide 중소형 모멘텀&로우볼 지수,"40","2018/07/17","2018/07/18"
케이비자산운용,"메리츠, NH투자증권, 키움증권, KB증권",KBSTAR 중소형모멘텀밸류,FnGuide 중소형모멘텀&밸류 지수(시장가격 지수),"41","2018/07/17","2018/07/18"
미래에셋자산운용,"NH투자증권, 미래에셋대우, 메리츠, KB증권, 키움증권",TIGER 중장기국채선물인버스2X,국채 3-10년 선물지수,"73","2018/07/19","2018/07/20"
미래에셋자산운용,"NH투자증권, 미래에셋대우, 메리츠, KB증권, 키움증권",TIGER 중장기국채선물인버스,국채 3-10년 선물지수,"77","2018/07/19","2018/07/20"
미래에셋자산운용,"NH투자증권, 미래에셋대우, 메리츠, KB증권, 키움증권",TIGER 중장기국채,KIS 국채 3-10년 지수(시장가격지수),"363","2018/07/19","2018/07/20"
미래에셋자산운용,"NH투자증권, 미래에셋대우, 메리츠, KB증권, 키움증권",TIGER 국채선물3년인버스,국채선물지수,"80","2018/07/19","2018/07/20"
미래에셋자산운용,"NH투자증권, 미래에셋대우, 메리츠, KB증권, 키움증권",TIGER 국채선물10년인버스,10년국채선물지수,"75","2018/07/19","2018/07/20"
케이비자산운용,"메리츠, NH투자증권, 키움증권, KB증권",KBSTAR 게임테마,WISE 게임 테마 지수 (시장가격지수),"40","2018/07/23","2018/07/24"
삼성자산운용,"NH투자증권, 신한투자, 대신증권, 메리츠, 하이증권, KB증권",KODEX 게임산업,FnGuide 게임 산업 지수,"80","2018/07/23","2018/07/24"
미래에셋자산운용,"메리츠, NH투자증권, KB증권",TIGER K게임,WISE K게임 테마 지수,"53","2018/07/23","2018/07/24"
케이비자산운용,"DB금투, KB증권, 메리츠, NH투자증권, 키움증권",KBSTAR 코스피,코스피,"2,453","2018/07/23","2018/07/24"
엔에이치아문디자산운용,"BNK증권, KB증권, 이베스트, 한화투자, 삼성증권, 한국증권, 메리츠, NH투자증권, 하이증권, 신한투자",HANARO 200선물레버리지,코스피 200 선물지수,"212","2018/08/13","2018/08/14"
엔에이치아문디자산운용,"KB증권, 미래에셋대우, 메리츠, NH투자증권, 유안타증권, 하이증권, 신한투자",HANARO KRX300,KRX 300,"194","2018/08/13","2018/08/14"
엔에이치아문디자산운용,"KB증권, 이베스트, 한국증권, 미래에셋대우, 유진증권, 메리츠, NH투자증권, 유안타증권, SK증권, 하이증권, 키움증권, 하나금융투자, 신한투자",HANARO 코스닥150,코스닥 150,"332","2018/08/13","2018/08/14"
삼성자산운용,"하이증권, 키움증권",KODEX 미국나스닥100선물(H),NASDAQ 100,"51","2018/08/28","2018/08/30"
미래에셋자산운용,"한국증권, 메리츠, KB증권, 미래에셋대우, NH투자증권, 키움증권",TIGER 미국채10년선물,S&P 10-Year U.S. Treasury Note Futures(ER),"181","2018/08/29","2018/08/30"
삼성자산운용,"NH투자증권, 키움증권",KODEX 미국채울트라30년선물(H),S&P Ultra T-Bond Futures Index(ER),"65","2018/09/10","2018/09/12"
삼성자산운용,"NH투자증권, 키움증권",KODEX 미국채울트라30년선물인버스(H),S&P Ultra T-Bond Futures Index(ER),"55","2018/09/10","2018/09/12"
삼성자산운용,"신한투자, 대신증권, 미래에셋대우, 유진증권, 메리츠, 하이증권, 키움증권, NH투자증권, KB증권",KODEX 2차전지산업,FnGuide 2차전지 산업 지수,"174","2018/09/11","2018/09/12"
미래에셋자산운용,"하이증권, 미래에셋대우, 메리츠, NH투자증권, KB증권, 하나금융투자",TIGER 2차전지테마,WISE 2차전지 테마 지수,"312","2018/09/11","2018/09/12"
엔에이치아문디자산운용,"미래에셋대우, 유진증권, 메리츠",HANARO 단기통안채,KAP 단기 통안채 지수(총수익),"932","2018/09/17","2018/09/18"
엔에이치아문디자산운용,"BNK증권, 신한투자, 미래에셋대우, 메리츠, NH투자증권, 하이증권, KB증권, 한화투자, 삼성증권",HANARO 200선물인버스,코스피 200 선물지수,"325","2018/09/17","2018/09/18"
엔에이치아문디자산운용,"BNK증권, 신한투자, 미래에셋대우, 메리츠, NH투자증권, 하이증권, KB증권",HANARO 코스닥150선물레버리지,F-코스닥150 지수,"51","2018/09/17","2018/09/18"
한국투자신탁운용,"NH투자증권, KB증권",KINDEX 코스피,코스피,"453","2018/10/04","2018/10/05"
삼성자산운용,"신한투자, 한국증권, 대신증권, 미래에셋대우, 유진증권, 메리츠, NH투자증권, KB증권, 한화투자, SK증권, 삼성증권, DB금투, 하이증권, 키움증권, 하나금융투자",KODEX KRX300레버리지,KRX 300,"161","2018/10/15","2018/10/16"
삼성자산운용,"신한투자, 한국증권, 대신증권, 미래에셋대우, 유진증권, 메리츠, NH투자증권, KB증권, 한화투자, SK증권, 삼성증권, DB금투, 하이증권, 키움증권, 하나금융투자",KODEX KRX300선물인버스,KRX 300 선물지수,"101","2018/10/15","2018/10/16"
케이비자산운용,"한국증권, KB증권, 키움증권, BNK증권",KBSTAR KRX300레버리지,KRX 300,"94","2018/10/15","2018/10/16"
케이비자산운용,"KB증권, 키움증권, 한국증권, BNK증권",KBSTAR KRX300선물인버스,KRX 300 선물지수,"81","2018/10/15","2018/10/16"
미래에셋자산운용,"미래에셋대우, 메리츠, NH투자증권, KB증권, 유안타증권",TIGER KRX300레버리지,KRX 300,"95","2018/10/15","2018/10/16"
미래에셋자산운용,"미래에셋대우, 메리츠, NH투자증권, KB증권, 유안타증권",TIGER KRX300선물인버스,KRX 300 선물지수,"71","2018/10/15","2018/10/16"
삼성자산운용,"미래에셋대우, 유진증권",KODEX 미국채10년선물,S&P 10-Year U.S. Treasury Note Futures KRW(ER),"56","2018/10/17","2018/10/19"
한국투자신탁운용,신한투자,KINDEX 미국WideMoat가치주,MorningStar Wide Moat Focus Index,"57","2018/10/23","2018/10/25"
미래에셋자산운용,"미래에셋대우, 메리츠, NH투자증권, KB증권",TIGER 의료기기,FnGuide 의료기기 지수,"70","2018/11/07","2018/11/08"
미래에셋자산운용,"미래에셋대우, 메리츠, NH투자증권, KB증권",TIGER 지주회사,FnGuide 지주회사 지수,"81","2018/11/07","2018/11/08"
한화자산운용,"신한투자, 한국증권",ARIRANG KRX300IT,KRX300 정보기술,"30","2018/11/07","2018/11/08"
한화자산운용,"한국증권, 메리츠, 하이증권",ARIRANG KRX300자유소비재,KRX300 자유소비재,"40","2018/11/07","2018/11/08"
한화자산운용,"미래에셋대우, 한화투자, 하이증권",ARIRANG KRX300금융,KRX300 금융,"48","2018/11/07","2018/11/08"
한화자산운용,"한화투자, 하이증권, KB증권",ARIRANG KRX300산업재,KRX300 산업재,"52","2018/11/07","2018/11/08"
한화자산운용,"미래에셋대우, 메리츠, 한화투자",ARIRANG KRX300헬스케어,KRX300 헬스케어,"28","2018/11/07","2018/11/08"
미래에셋자산운용,"NH투자증권, KB증권, 삼성증권, 한국증권, 미래에셋대우, 메리츠",TIGER 200TR,코스피 200 TR,"1,005","2018/11/19","2018/11/20"
미래에셋자산운용,"NH투자증권, KB증권, 삼성증권, 한국증권, 미래에셋대우, 메리츠",TIGER MSCI Korea TR,MSCI Korea TR Index,"7,207","2018/11/19","2018/11/20"
케이비자산운용,"미래에셋대우, 키움증권",KBSTAR 중국MSCI China선물(H),MSCI China NTR Index(USD) (Net Total Return),"58","2018/11/27","2018/11/28"
엔에이치아문디자산운용,"메리츠, NH투자증권",HANARO 농업융복합산업,FnGuide 농업융복합산업 지수(시장가격),"72","2018/12/20","2018/12/21"
삼성자산운용,"한국증권, 미래에셋대우, 하이증권",KODEX 미국FANG플러스(H),NYSE FANG+TM Index,"55","2019/01/08","2019/01/10"
미래에셋자산운용,"미래에셋대우, 메리츠, NH투자증권, KB증권",TIGER 200커뮤니케이션서비스,코스피 200 커뮤니케이션서비스,"111","2019/01/14","2019/01/15"
케이비자산운용,"메리츠, 키움증권, NH투자증권, KB증권",KBSTAR 200커뮤니케이션서비스,코스피 200 커뮤니케이션서비스,"53","2019/01/14","2019/01/15"
삼성자산운용,"교보증권, NH투자증권, KB증권, 신한투자, 한국증권, 미래에셋대우, 메리츠, 삼성증권, 키움증권",KODEX Top5PlusTR,FnGuide TOP 5 Plus Total Return 지수,"3,961","2019/01/21","2019/01/22"
케이비자산운용,"KB증권, BNK증권, 메리츠, 신한투자, 키움증권, 하이증권",KBSTAR 대형고배당10TR,WISE 대형고배당10 TR 지수,"2,002","2019/01/21","2019/01/22"
키움투자자산운용,"NH투자증권, BNK증권, SK증권, 미래에셋대우, 메리츠, 한화투자, 하이증권, 키움증권",KOSEF 코스닥150,코스닥 150,"1,341","2019/01/21","2019/01/22"
한국투자신탁운용,삼성증권,KINDEX 싱가포르리츠,Morningstar Singapore REIT Yield Focus Index(PR),"204","2019/01/24","2019/01/29"
케이비자산운용,"메리츠, 키움증권, KB증권, 한국증권",KBSTAR KRX300미국달러선물혼합,KRX 300 미국달러 선물혼합지수,"70","2019/03/18","2019/03/19"
미래에셋자산운용,"하이증권, 메리츠, 키움증권",TIGER 골드선물(H),S&P GSCI Gold Index(TR),"86","2019/04/08","2019/04/09"
한국투자신탁운용,"한국증권, KB증권",KINDEX 스마트퀄리티,FnGuide 스마트 퀄리티 지수,"72","2019/04/15","2019/04/16"
한국투자신탁운용,"한국증권, KB증권",KINDEX 스마트로우볼,FnGuide 스마트 로우볼 지수,"72","2019/04/15","2019/04/16"
한국투자신탁운용,"한국증권, KB증권",KINDEX 스마트하이베타,FnGuide 스마트 하이베타 지수,"76","2019/04/15","2019/04/16"
엔에이치아문디자산운용,"신한투자, 메리츠, NH투자증권, KB증권",HANARO e커머스,FnGuide E커머스 지수,"82","2019/04/22","2019/04/23"
엔에이치아문디자산운용,"신한투자, 메리츠, NH투자증권, KB증권",HANARO 고배당,FnGuide 고배당 알파 지수,"91","2019/04/22","2019/04/23"
삼성자산운용,"신한투자, 한국증권, 메리츠, 키움증권",KODEX Fn성장,FnGuide 성장 지수(PR),"937","2019/05/30","2019/05/31"
삼성자산운용,"유진증권, 메리츠, 하이증권, 키움증권",KODEX 배당가치,FnGuide SLV 배당가치 지수,"1,192","2019/05/30","2019/05/31"
삼성자산운용,"신한투자, 미래에셋대우",KODEX 멀티에셋하이인컴(H),Morningstar Multi-Asset High Income 10% Capped Index,"83","2019/06/03","2019/06/05"
케이비자산운용,키움증권,KBSTAR IT플러스,FnGuide IT플러스 지수,"73","2019/06/19","2019/06/20"
케이비자산운용,키움증권,KBSTAR 내수주플러스,FnGuide 내수주플러스 지수,"67","2019/06/19","2019/06/20"
한화자산운용,"미래에셋대우, 메리츠, 한화투자",ARIRANG 코스피TR,코스피 TR,"429","2019/06/24","2019/06/25"
삼성자산운용,"신한투자, 미래에셋대우",KODEX TRF7030,FnGuide TRF 7030 지수,"205","2019/07/03","2019/07/04"
삼성자산운용,"신한투자, 미래에셋대우",KODEX TRF5050,FnGuide TRF 5050 지수,"203","2019/07/03","2019/07/04"
삼성자산운용,"신한투자, 미래에셋대우",KODEX TRF3070,FnGuide TRF 3070 지수,"404","2019/07/03","2019/07/04"